,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,HasCabin,Title,CatAge,CatFare,Embarked_Q,Embarked_S,Embarked_C,Title_Mr,Title_Miss,Title_Mrs,Title_Unique,TravelAlone
0,1,0.0,3,male,22.0,1,0,False,Mr,0,0,False,True,False,True,False,False,False,0
1,2,1.0,1,female,38.0,1,0,True,Mrs,3,3,False,False,True,False,False,True,False,0
2,3,1.0,3,female,26.0,0,0,False,Miss,1,1,False,True,False,False,True,False,False,1
3,4,1.0,1,female,35.0,1,0,True,Mrs,2,3,False,True,False,False,False,True,False,0
4,5,0.0,3,male,35.0,0,0,False,Mr,2,1,False,True,False,True,False,False,False,1
5,6,0.0,3,male,29.881137667304014,0,0,False,Mr,1,1,True,False,False,True,False,False,False,1
6,7,0.0,1,male,54.0,0,0,True,Mr,3,3,False,True,False,True,False,False,False,1
7,8,0.0,3,male,2.0,3,1,False,Master,0,2,False,True,False,False,False,False,False,0
8,9,1.0,3,female,27.0,0,2,False,Mrs,1,1,False,True,False,False,False,True,False,0
9,10,1.0,2,female,14.0,1,0,False,Mrs,0,2,False,False,True,False,False,True,False,0
10,11,1.0,3,female,4.0,1,1,True,Miss,0,2,False,True,False,False,True,False,False,0
11,12,1.0,1,female,58.0,0,0,True,Miss,3,2,False,True,False,False,True,False,False,1
12,13,0.0,3,male,20.0,0,0,False,Mr,0,1,False,True,False,True,False,False,False,1
13,14,0.0,3,male,39.0,1,5,False,Mr,3,2,False,True,False,True,False,False,False,0
14,15,0.0,3,female,14.0,0,0,False,Miss,0,0,False,True,False,False,True,False,False,1
15,16,1.0,2,female,55.0,0,0,False,Mrs,3,2,False,True,False,False,False,True,False,1
16,17,0.0,3,male,2.0,4,1,False,Master,0,2,True,False,False,False,False,False,False,0
17,18,1.0,2,male,29.881137667304014,0,0,False,Mr,1,1,False,True,False,True,False,False,False,1
18,19,0.0,3,female,31.0,1,0,False,Mrs,2,2,False,True,False,False,False,True,False,0
19,20,1.0,3,female,29.881137667304014,0,0,False,Mrs,1,0,False,False,True,False,False,True,False,1
20,21,0.0,2,male,35.0,0,0,False,Mr,2,2,False,True,False,True,False,False,False,1
21,22,1.0,2,male,34.0,0,0,True,Mr,2,1,False,True,False,True,False,False,False,1
22,23,1.0,3,female,15.0,0,0,False,Miss,0,1,True,False,False,False,True,False,False,1
23,24,1.0,1,male,28.0,0,0,True,Mr,1,3,False,True,False,True,False,False,False,1
24,25,0.0,3,female,8.0,3,1,False,Miss,0,2,False,True,False,False,True,False,False,0
25,26,1.0,3,female,38.0,1,5,False,Mrs,3,3,False,True,False,False,False,True,False,0
26,27,0.0,3,male,29.881137667304014,0,0,False,Mr,1,0,False,False,True,True,False,False,False,1
27,28,0.0,1,male,19.0,3,2,True,Mr,0,3,False,True,False,True,False,False,False,0
28,29,1.0,3,female,29.881137667304014,0,0,False,Miss,1,0,True,False,False,False,True,False,False,1
29,30,0.0,3,male,29.881137667304014,0,0,False,Mr,1,0,False,True,False,True,False,False,False,1
30,31,0.0,1,male,40.0,0,0,False,Unique,3,2,False,False,True,False,False,False,True,1
31,32,1.0,1,female,29.881137667304014,1,0,True,Mrs,1,3,False,False,True,False,False,True,False,0
32,33,1.0,3,female,29.881137667304014,0,0,False,Miss,1,0,True,False,False,False,True,False,False,1
33,34,0.0,2,male,66.0,0,0,False,Mr,3,1,False,True,False,True,False,False,False,1
34,35,0.0,1,male,28.0,1,0,False,Mr,1,3,False,False,True,True,False,False,False,0
35,36,0.0,1,male,42.0,1,0,False,Mr,3,3,False,True,False,True,False,False,False,0
36,37,1.0,3,male,29.881137667304014,0,0,False,Mr,1,0,False,False,True,True,False,False,False,1
37,38,0.0,3,male,21.0,0,0,False,Mr,0,1,False,True,False,True,False,False,False,1
38,39,0.0,3,female,18.0,2,0,False,Miss,0,2,False,True,False,False,True,False,False,0
39,40,1.0,3,female,14.0,1,0,False,Miss,0,1,False,False,True,False,True,False,False,0
40,41,0.0,3,female,40.0,1,0,False,Mrs,3,1,False,True,False,False,False,True,False,0
41,42,0.0,2,female,27.0,1,0,False,Mrs,1,2,False,True,False,False,False,True,False,0
42,43,0.0,3,male,29.881137667304014,0,0,False,Mr,1,0,False,False,True,True,False,False,False,1
43,44,1.0,2,female,3.0,1,2,False,Miss,0,3,False,False,True,False,True,False,False,0
44,45,1.0,3,female,19.0,0,0,False,Miss,0,0,True,False,False,False,True,False,False,1
45,46,0.0,3,male,29.881137667304014,0,0,False,Mr,1,1,False,True,False,True,False,False,False,1
